Customer,Date Shipped,Product ID,Brand,Channel
9821070,3/14/18,377,White Whale,Direct
9821169,3/14/18,377,White Whale,Direct
9813960,3/16/18,377,White Whale,Direct
9817533,3/17/18,548,White Whale,Direct
9821151,3/17/18,548,White Whale,Direct
9815607,3/22/18,17,White Whale,Direct
9816624,3/24/18,548,White Whale,Direct
9822600,3/27/18,377,White Whale,Direct
9817299,3/28/18,1073,Black Dog,Direct
9821763,3/28/18,1109,White Whale,Direct
9822114,3/30/18,548,White Whale,Direct
9812052,4/3/18,968,White Whale,Direct
9821124,4/3/18,458,Black Dog,Direct
8715352,4/6/18,377,White Whale,Direct
9817218,4/11/18,458,Black Dog,Direct
9817416,4/12/18,458,Black Dog,Direct
9820116,4/12/18,1109,White Whale,Direct
9821070,4/13/18,581,White Whale,Direct
9821169,4/13/18,581,White Whale,Direct
9815607,4/19/18,377,White Whale,Direct
8712192,4/21/18,968,White Whale,Partner
9821151,4/21/18,17,White Whale,Direct
9816624,4/26/18,17,White Whale,Direct
9821763,4/26/18,17,White Whale,Direct
9822600,4/26/18,17,White Whale,Direct
9817299,4/28/18,446,Black Dog,Direct
9822114,4/28/18,17,White Whale,Direct
9822789,1/9/18,677,White Whale,Partner
9822807,1/9/18,677,White Whale,Direct
9822987,1/9/18,677,White Whale,Direct
9823563,1/9/18,494,Black Dog,Direct
9823716,1/9/18,677,White Whale,Direct
9823743,1/9/18,677,White Whale,Partner
9823797,1/9/18,494,Black Dog,Direct
9823824,1/9/18,677,White Whale,Direct
9824436,1/9/18,677,White Whale,Direct
9824508,1/9/18,494,Black Dog,Direct
9825480,1/9/18,494,Black Dog,Direct
9825507,1/9/18,677,White Whale,Direct
9825615,1/9/18,677,White Whale,Direct
9826290,1/9/18,677,White Whale,Direct
9826299,1/9/18,677,White Whale,Direct
9826317,1/9/18,677,White Whale,Direct
9826479,1/9/18,677,White Whale,Direct
9826569,1/9/18,677,White Whale,Direct
9828036,1/9/18,494,Black Dog,Direct
9828135,1/9/18,494,Black Dog,Direct
9828900,1/9/18,677,White Whale,Partner
9829008,1/9/18,494,Black Dog,Direct
9829125,1/9/18,677,White Whale,Direct
